Pattern: *dot_issue*
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[12]_i_5_n_0 | flat_pin_count=2 | driver=cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[12]_i_5/O
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[16]_i_2_n_0 | flat_pin_count=2 | driver=cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[16]_i_2/O
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[16]_i_3_n_0 | flat_pin_count=2 | driver=cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[16]_i_3/O
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[16]_i_4_n_0 | flat_pin_count=2 | driver=cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[16]_i_4/O
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[16]_i_5_n_0 | flat_pin_count=2 | driver=cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[16]_i_5/O
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[20]_i_2_n_0 | flat_pin_count=2 | driver=cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[20]_i_2/O
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[20]_i_3_n_0 | flat_pin_count=2 | driver=cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[20]_i_3/O
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[20]_i_4_n_0 | flat_pin_count=2 | driver=cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[20]_i_4/O
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[20]_i_5_n_0 | flat_pin_count=2 | driver=cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[20]_i_5/O
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[24]_i_2_n_0 | flat_pin_count=2 | driver=cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[24]_i_2/O
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[24]_i_3_n_0 | flat_pin_count=2 | driver=cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[24]_i_3/O
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[24]_i_4_n_0 | flat_pin_count=2 | driver=cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[24]_i_4/O
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[24]_i_5_n_0 | flat_pin_count=2 | driver=cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[24]_i_5/O
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[28]_i_2_n_0 | flat_pin_count=2 | driver=cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[28]_i_2/O
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[28]_i_3_n_0 | flat_pin_count=2 | driver=cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[28]_i_3/O
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[28]_i_4_n_0 | flat_pin_count=2 | driver=cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[28]_i_4/O
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[28]_i_5_n_0 | flat_pin_count=2 | driver=cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[28]_i_5/O
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[4]_i_2_n_0 | flat_pin_count=2 | driver=cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[4]_i_2/O
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[4]_i_3_n_0 | flat_pin_count=2 | driver=cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[4]_i_3/O
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[4]_i_4_n_0 | flat_pin_count=2 | driver=cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[4]_i_4/O
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[4]_i_5_n_0 | flat_pin_count=2 | driver=cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[4]_i_5/O
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[8]_i_2_n_0 | flat_pin_count=2 | driver=cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[8]_i_2/O
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[8]_i_3_n_0 | flat_pin_count=2 | driver=cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[8]_i_3/O
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[8]_i_4_n_0 | flat_pin_count=2 | driver=cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[8]_i_4/O
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[8]_i_5_n_0 | flat_pin_count=2 | driver=cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[8]_i_5/O
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg_reg[0] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[0]/Q
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg_reg[0]_i_2_n_0 | flat_pin_count=2 | driver=cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg_reg[0]_i_2/CO[3]
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg_reg[10] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[10]/Q
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg_reg[11] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[11]/Q
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg_reg[12] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[12]/Q
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg_reg[12]_i_1_n_0 | flat_pin_count=2 | driver=cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg_reg[12]_i_1/CO[3]
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg_reg[13] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[13]/Q
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg_reg[14] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[14]/Q
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg_reg[15] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[15]/Q
